"COURS","","H19","E19","A19","H20","É20"
"AéAER600","Introduction à l'aérospatiale","","","J","",""
"ATE029","Introduction à la modélisation solide avec CATIA","J(INT)","J(INT)","J(INT)","J(INT)","J(INT)"
"Pi,Ma, Aé, Ba, Mé, FaGIA601","Ergonomie et sécurité en milieu de travail","JS","J","J","JS","J"
"Qa,PiGPE450","Gestion du personnel et relations industrielles","JS","JS","JS","JS","JS"
"GPO602","Évaluation et contrôle de l'environnement industriel","J","","","J",""
"GPO661","Gestion et assurance de la qualité","S","S","","S",""
"MEC029","Communication graphique et fabriction mécanique","J","","JS","J",""
"MEC111","Statique de l'ingénieur","JS","J","JS","JS","J"
"MEC129","Développement de produits assisté par ordinateur","JS","J","JS","JS","J"
"MEC200","Technologie des matériaux","JS","JS","JS","JS","JS"
"MEC222","Dynamique","JS","JS","JS","JS","JS"
"MEC240","Thermodynamique","JS","JS","JS","JS","JS"
"MEC300","Tchnologie de la mise en forme","JS","JS","JS","JS","JS"
"MEC329","Résistance des matériaux","JS","JS","JS","JS","JS"
"MEC335","Mécanique des fluides","JS","JS","JS","JS","JS"
"Ma, Aé, Ba, Mé, FaMEC402","Production et fabrication industrielles","J","S","J","J","S"
"MEC423","Méthode des éléments finis des corps déformables","JS","JS","JS","JS","JS"
"MEC525","Conception vibratoire et dynamique des structures","JS","JS","JS","JS","JS"
"MEC528","Éléments de machines","JS","JS","JS","JS","JS"
"MEC532","Transfert de chaleur","JS","JS","JS","JS","JS"
"MEC546","Circuits électriques et électrotechniques","JS","JS","JS","JS","JS"
"AéMEC555","Analyse des contraintes","","","J","",""
"AéMEC556","Aérothermodynamique des écoulements","","","J","",""
"AéMEC557","Méthodes expérimentales en thermofluide","","","J","",""
"AéMEC558","Introduction à la dynamique des fluides numérique","J","","","J",""
"MEC592","Projets de conception de machines","JS","JS","JS","JS","JS"
"FaMEC602","Tolérancement et métrologie tridimensionnelle","J","","","J",""
"Aé,FaMEC619","Mécanique des matériaux composites","S","","J","S",""
